Abbreviations,Meaning
TRM,Thermal Reflectance Microscopy
TRPE,Time-Resolved Photon Emission prober
TRST,Test Reset
TRXRFA,Total Reflection X-ray Fluorescence Analysis
TSC,Two-Step Crystallization
TSCA,Toxic Substances Control Act
TSI,Top Surface Imaging
TSIA,Taiwan Semiconductor Industry Association
TSOP,Thin Small Outline Package
TSP,Temperature-Sensitive Parameter
TSPD,Thyristor Surge Protection Devices
TST,Thermal Shock Test
TSV,Through Silicon Via
TSVs,Through Silicon Vias
TT,Technology Transfer
TTAA,Time To Acceptable Analysis
TTF,Time To Failure
TTL,Transistor-Transistor Logic; Through The Lens
TTL-LS,Transistor-Transistor Logic-Low power Schottky
TTR,Time To Repair
TTS,Transistor-Transistor logic Schottky barrier
TTV,Total Thickness Variation
TVS,Triangular Voltage Sweep
TWA,Time-Weighted Average
TWG,Technology Working Group
TXRF,Total Reflection X-Ray Fluorescence
TZDB,Time-Zero Dielectric Breakdown
Ta,Tantalum
TaN,Include Tantalum Nitride
Tb,Terbium
Tc,Technetium
Te,Tellurium
Th,Thorium
Ti,Titanium
Tl,Thallium
Tm,Thulium
Tox,Oxide Thickness
Tx,Transmit Unit
T€,Thousand Euro
U,Uranium
U/S,Ultrasonic
UART,Universal Asynchronous Receiver/Transmitter
UBM,Under-Bump Metallurgy
UCB,Unit Code Browser
UCL,Upper Confidence Limit; Upper Control Limit
UCPSS,Ultra Clean Process Of Silicon Surface
UEL,Upper Explosive Limit
UF,Ultra-Filtration
UFC,Unsaturated Fluorocarbon; Uniform Fire Code
UFL,Upper Flammable Limit
UFP,Ultra Fine Pitch
UHF,Ultra-High Frequency
UHP,Ultra-High Purity
UHV,Ultra-High Vacuum
UI,User Interface
UID,User Identification
UJT,Unijunction Transistor
ULA,Uncommitted Logic Array
ULK,Ultra Low K
ULPA,Ultra-Low Particulate Air
ULSI,Ultra Large-Scale Integration
UMTS,Universal Mobile Telecommunications System
UPA,Ultraperforming Algorithm
UPH,Units Per Hour
UPPER,User Group For Process Simulation European Research
UPS,Uninterrupted Power Supply
UPW,Ultrapure Water
UR,Usage Rates
URD ,User Requirement Document
URL,Uniform Resource Locator
US,United States of America
USA,United States of America
USART,Universal Synchronous/Asynchronous Receiver/Transmitter
USB,Universal Serial Bus
USG,Undoped Silicate Glass
USJ,Ultra Shallow Junction
USOP,Ultra Small Outline Package
USRD,User System Requirement Document
UTR,Ultrathin Resist
UTV,Unmanned Transport Vehicle
UUT,Unit Under Test
UV,Ultraviolet
UWB,Ultra Wideband
Utt,Unattenuated
V,Vanadium; Volt; Voltage
V-I,Vacancy-Interstitial
V-MOS,V-Groove Metal-Oxide Semiconductor
V/um,Volts Per Micron
VA,Volume Absorber
VAC,Volts Alternating Current
VAE,Variable Aperture Electrode
VAR,Value Added Reseller; Volt-Ampere Reactive
VASE,Variable Angle Spectroscopic Ellipsometry
VC,Voltage Contrast
VCO,Voltage Controlled Oscillator
VCSEL,Vertical-Cavity Surface- Emitting Laser
VDC,Volts Direct-Current
VDMOS,Vertical Double Diffused Mos
VDMOSFET,Vertical Diffused MOSFET
VDP,Van Der Pauw
VDS,Vapor Distribution System; Vacuum Diagnostics System
VDSL,Very High Bit-Rate Digital Subscriber Line
VDSM,Very Deep Sub-Micron
VFB,Voltage Flat Band
VFD,Variable Frequency Drive
VFDD,Via-First Dual Damascene
VFEI,Virtual Factory Equipment Interface
VFTL,Via First Trench Last
VHDL,Very High Description Language
VHF,Very High Frequency
VHN,Vickers Hardness Number
VHORG,Vertically And Horizontally Organized Grid
VHP,Very High Productivity; Very High Performance
VHS,Variable Hard Sphere
VHSIC,Very High-Speed Integrated Circuit
VLA,Very Large Array
VLE,Vapor Levitation Epitaxy
VLF,Vertical Laminar Flow
VLL,Video Lead Locator
VLS,Variable Line Spacing
VLSI,Very Large Scale Integration
VLT,Very Low Temperature
VLV,Very Low Voltage
VM,Virtual Machine
VMB,Valve Manifold Box
VMDP,Velocity-Matched Distributed Photodetectors
VME,Versa Micromodule Extension; Virtual Manufacturing Enterprise
VMOS,Vertical Mos
VMP,Valve Manifold Post
VMW,Vertically Modulated Well
VNL,Virtual National Laboratory (Llnl
VOC,Volatile Organic Compound
VODM,Vapor On Demand
VP,Volume Production
VPD,Vapor Phase Desorption; Vapor Phase Decomposition
VPD-ICPMS,Vapor Phase Decomposition-Inductively-Coupled Plasma Mass Spectrometry
VPE,Vapour Phase Epitaxy
VPP,Peak-To-Peak Voltage
VRG,Vertical Replacement Gate
VRT,Variable Retention Time
VSAT,Very Small Aperture Satellite Ground Terminal
VSMI,Volumetric System Miniaturization and
VSP,Variable Soft Sphere
VSS,Variable Soft Sphere
VTC,Voltage Transfer Characteristics
VTCMOS,Variable Threshold voltage
VTP,Vertical Thermal Processor
VTVM,Vacuum Tube Voltmeter
VUV,Vacuum Ultraviolet
Vbc,Voltage Between Base And Collector
Vbco,See Bvcbo
Vbe,Voltage Between The Base And Emitter
Vbitline,Bitline Voltage
Vbs,Bulk-Source Voltage
Vcc,Bipolar Operation Voltage
Vd,Drain Source Voltage Of A Mosfet
Vdd,Power Supply Voltage; Fet Operation Voltage
Vds,Voltage Between Sourse And Drain; Voltage Drop Source/Drain
Vearly,Early Voltage
Vf,To Be Filled In
Vg,Gate Voltage
Vop,Operation Voltage
Vs,Source Voltage
Vt,Voltage Threshold
Vth,Voltage Threshold
W,Tungsten
W-bit,Wait-Bit
W/B,Wire Bonding
W/E,Write/Erase
WAN,Wide Area Network
WB,Weak Base; Wirebonding
WBC,Wafer Backside Coating
WBS,Work Breakdown Structure
WBSEM,Wire Bonder Specific Equipment Model
WCDMA,Wideband Code Division Multiple Access
WCN,Tungsten-Carbon-Nitride
WCoP,Tungsten Cobalt Phosphide
WD,Working Distance
WDM,Wavelength Division Multiplex
WDS,Wavelength-Dispersive Spectrometry Of X-Rays
WDX,Wavelength Dispersive X-Ray
WDXA,Wavelength-Dispersive X-Ray Analysis
WEC,Wafer Environment Control
WECC,Wafer Environment Contamination Control
WFT,Wafer Fabrication Template
WGPD,Waveguide Photodiode
WGPDs,Reliability Of Planar Waveguide Photodiodes
WIB,Within-Batch
WIP,Work In Process; Work In Progress
WIS,Water-Induced Shift
WIW,Within-Wafer
WIWNU,Within-Wafer Nonuniformity
WL,Word Line
WLAN,Wideband Local Area Network
WLBI,Wafer-Level Burn-In
WLCSP,Wafer-Level Chip Scale Packaging
WLI,White light interferometry
WLP,Wafer-Level Package; Wafer Level Processing
WLR,Wafer Level Reliability
WLS,Weighted Least Squares
WLT,Wafer-Level Test
WLTBI,Wafer-Level Testing during
WN,Tungsten Nitride
WNP,Waste Neutralization Plant
WORM,Write Once Read Many
WP,Workpackage
WPAN,Wideband Personal Network
WPC,Wafer Process Chamber; Wafer Production Capacity
WPH,Wafers Per Hour
WSC,World Semiconductor Council
WSI,Wafer-Scale Integration
WSN,Wireless Sensor Networks
WSPM,Wafer Starts Per Month
WSPW,Wafer Starts Per Week
WTC,Wafer Transfer Chamber
WTW,Wafer-To Wafer
WTWNU,Wafer-To Wafer Nonuniformity
WVDS,Water Vapor Delivery System
WVR,Water Vapor Regained
X,Inductive Reactance
XAES,X-ray-induced Auger Electron Spectrometry
XANES,X-Ray Adsorption Near Edge Structure Spectroscopy
XEDS,X-ray Energy Dispersive Spectroscopy
XES,x-ray energy spectroscopy
XIVA,External Induced Voltage Alteration
XLL,Exit Loadlock
XLS,Excimer Laser System; Extended Light Scatterer
XML,Extensible Markup Language
XPD,X-ray Photoelectron Diffraction
XPS,X-Ray Photoelectron Spectroscopy
XRD,X-Ray Diffraction
XRF,X-Ray Fluorescence Spectrometry
XRFA,X-Ray Fluorescence Spectrometric Analysis
XRM,X-Ray Microscopy
XRPM,X-Ray Projection Microscopy
XRR,X-Ray Reflectivity
XSEM,Cross-Sectional Scanning Electron Microscopy
XTEM,X-ray Transmission Electron Microscopy
Xe,Xenon
Xj,Junction Depth
Y,Yttrium
Y overall,Overall Yield
Y random,Random Defect Limited Yield
Y systematic,Systematic Mechanism Yield
YAG,Yttrium Aluminum Garnet
YIG,Yield Impact Graph
YMS,Yield Management System
YMT,Yield Management Tools
YR,Yield Ramp
Yb,Ytterbium
Ys,Systemic Defect Limited Yield
Z,Zinc
ZCC,Zone Control Conveyor
ZD,Zero Defect
ZIF,Zero Insertion Force
ZMR,Zone-Melting Recrystallized 
Zn,Zinc
Zr,Zirconium
aPSM or APSM,Attenuating Phase Shift Mask
alt,Alternating Phase Shift Mask
atm,Atmosphere
attPSM,Attenuated Phase Shift Mask
beta,Dc Common Emitter Gain
dA,Digital Design
dB,Decibels Dba
dBc,Db Change From Carrier Frequency; Db Of Gain Compression
dBm,Db Referred To 1 Milliwatt
dHF,Dilute Hydrofluoric
dbRT,Decibel/Root Hertz
di/dt,Rate Of Change Current To Time
eDRAM,Embedded Dram
eV,Electronvolt
eWLB,Embedded Wafer Level Ball Grid Array
epi,Epitaxial Silicon
fF,Femto Farad
ft,Cutoff Frequency
hp,Half-Pitch; Itrs Technology Node Indicator
iNemi,International Electronics Manufacturing Initiative
k,Dielectric Constant; Relative Dielectric Constant
kHz,Kilohertz
kV,Kilovolt
keff,Effective Dielectric Constant
m/s,Meter Per Second
mA,Milliamperes
mELT,Modified Etch Lift-Off
mHEMT,Mobility Transistor Metamorphic Hemt
mHEMTs,Material Metamorphic High Electron Mobility Transistors
mP,Microprocessor
mW,Milliwatt
max,Maximum
min,Minimum
ml,Milliliter
mm,Millimeter
mm-wave,Millimeter Wave
mp,Melting Point
nA,Nano Ampere
nm,Nanometer
ns,Nanosecond
p/p,P-Type On P-Type
pA,Picoampere
pF,Picofarad
pFFA,Probabilistic Functional Failure Analysis
pHEMT,Metamorphic Hemt Pseudomorphic Hemt
pHEMTs,Constants Pseudomorphic High Electron Mobility Transistors
pk-pk,Peak-To-Peak
poly,Polysilicon
ppb,Parts Per Billion
ppbV,Parts Per Billion (Volume)
ppbWT,Parts Per Billion (Weight)
ppm,Parts Per Million
ppmV,Parts Per Million (Volume)
ppma,Parts Per Million Atomic
ppt,Parts Per Trillion
ps,Picosecond
s/n,Serial Number
scCO2,Supercritical Co2
t,Transistor
t diel,Thickness Of Dielectric
t eq. ox,Equivalent Oxide Thickness
uA,Microamperes
uF,Micro-Farad
um,Micrometer; Micron
us,Microsecond
°,Rotation
κ,Constant
